player,team,lg,season,replaced,hof
Bam Adebayo,Team Giannis,NBA,2020,FALSE,FALSE
Giannis Antetokounmpo,Team Giannis,NBA,2020,FALSE,FALSE
Jimmy Butler,Team Giannis,NBA,2020,FALSE,FALSE
Joel Embiid,Team Giannis,NBA,2020,FALSE,FALSE
Rudy Gobert,Team Giannis,NBA,2020,FALSE,FALSE
Brandon Ingram,Team Giannis,NBA,2020,FALSE,FALSE
Kyle Lowry,Team Giannis,NBA,2020,FALSE,FALSE
Khris Middleton,Team Giannis,NBA,2020,FALSE,FALSE
Donovan Mitchell,Team Giannis,NBA,2020,FALSE,FALSE
Pascal Siakam,Team Giannis,NBA,2020,FALSE,FALSE
Kemba Walker,Team Giannis,NBA,2020,FALSE,FALSE
Trae Young,Team Giannis,NBA,2020,FALSE,FALSE
Devin Booker,Team LeBron,NBA,2020,FALSE,FALSE
Anthony Davis,Team LeBron,NBA,2020,FALSE,FALSE
Luka Dončić,Team LeBron,NBA,2020,FALSE,FALSE
James Harden,Team LeBron,NBA,2020,FALSE,FALSE
LeBron James,Team LeBron,NBA,2020,FALSE,FALSE
Nikola Jokić,Team LeBron,NBA,2020,FALSE,FALSE
Kawhi Leonard,Team LeBron,NBA,2020,FALSE,FALSE
Damian Lillard,Team LeBron,NBA,2020,FALSE,FALSE
Chris Paul,Team LeBron,NBA,2020,FALSE,FALSE
Domantas Sabonis,Team LeBron,NBA,2020,FALSE,FALSE
Ben Simmons,Team LeBron,NBA,2020,FALSE,FALSE
Jayson Tatum,Team LeBron,NBA,2020,FALSE,FALSE
Russell Westbrook,Team LeBron,NBA,2020,FALSE,FALSE
Giannis Antetokounmpo,Team Giannis,NBA,2019,FALSE,FALSE
Stephen Curry,Team Giannis,NBA,2019,FALSE,FALSE
Joel Embiid,Team Giannis,NBA,2019,FALSE,FALSE
Paul George,Team Giannis,NBA,2019,FALSE,FALSE
Blake Griffin,Team Giannis,NBA,2019,FALSE,FALSE
Nikola Jokić,Team Giannis,NBA,2019,FALSE,FALSE
Kyle Lowry,Team Giannis,NBA,2019,FALSE,FALSE
Khris Middleton,Team Giannis,NBA,2019,FALSE,FALSE
Dirk Nowitzki,Team Giannis,NBA,2019,FALSE,FALSE
Victor Oladipo,Team Giannis,NBA,2019,TRUE,FALSE
D'Angelo Russell,Team Giannis,NBA,2019,FALSE,FALSE
Nikola Vučević,Team Giannis,NBA,2019,FALSE,FALSE
Kemba Walker,Team Giannis,NBA,2019,FALSE,FALSE
Russell Westbrook,Team Giannis,NBA,2019,FALSE,FALSE
LaMarcus Aldridge,Team LeBron,NBA,2019,FALSE,FALSE
Bradley Beal,Team LeBron,NBA,2019,FALSE,FALSE
Anthony Davis,Team LeBron,NBA,2019,FALSE,FALSE
Kevin Durant,Team LeBron,NBA,2019,FALSE,FALSE
James Harden,Team LeBron,NBA,2019,FALSE,FALSE
Kyrie Irving,Team LeBron,NBA,2019,FALSE,FALSE
LeBron James,Team LeBron,NBA,2019,FALSE,FALSE
Kawhi Leonard,Team LeBron,NBA,2019,FALSE,FALSE
Damian Lillard,Team LeBron,NBA,2019,FALSE,FALSE
Ben Simmons,Team LeBron,NBA,2019,FALSE,FALSE
Klay Thompson,Team LeBron,NBA,2019,FALSE,FALSE
Karl-Anthony Towns,Team LeBron,NBA,2019,FALSE,FALSE
Dwyane Wade,Team LeBron,NBA,2019,FALSE,FALSE
LaMarcus Aldridge,Team LeBron,NBA,2018,FALSE,FALSE
Bradley Beal,Team LeBron,NBA,2018,FALSE,FALSE
DeMarcus Cousins,Team LeBron,NBA,2018,TRUE,FALSE
Anthony Davis,Team LeBron,NBA,2018,FALSE,FALSE
Goran Dragić,Team LeBron,NBA,2018,FALSE,FALSE
Andre Drummond,Team LeBron,NBA,2018,FALSE,FALSE
Kevin Durant,Team LeBron,NBA,2018,FALSE,FALSE
Paul George,Team LeBron,NBA,2018,FALSE,FALSE
Kyrie Irving,Team LeBron,NBA,2018,FALSE,FALSE
LeBron James,Team LeBron,NBA,2018,FALSE,FALSE
Kevin Love,Team LeBron,NBA,2018,TRUE,FALSE
Victor Oladipo,Team LeBron,NBA,2018,FALSE,FALSE
Kristaps Porziņģis,Team LeBron,NBA,2018,TRUE,FALSE
Kemba Walker,Team LeBron,NBA,2018,FALSE,FALSE
John Wall,Team LeBron,NBA,2018,TRUE,FALSE
Russell Westbrook,Team LeBron,NBA,2018,FALSE,FALSE
Giannis Antetokounmpo,Team Stephen,NBA,2018,FALSE,FALSE
Jimmy Butler,Team Stephen,NBA,2018,TRUE,FALSE
Stephen Curry,Team Stephen,NBA,2018,FALSE,FALSE
DeMar DeRozan,Team Stephen,NBA,2018,FALSE,FALSE
Joel Embiid,Team Stephen,NBA,2018,FALSE,FALSE
Draymond Green,Team Stephen,NBA,2018,FALSE,FALSE
James Harden,Team Stephen,NBA,2018,FALSE,FALSE
Al Horford,Team Stephen,NBA,2018,FALSE,FALSE
Damian Lillard,Team Stephen,NBA,2018,FALSE,FALSE
Kyle Lowry,Team Stephen,NBA,2018,FALSE,FALSE
Klay Thompson,Team Stephen,NBA,2018,FALSE,FALSE
Karl-Anthony Towns,Team Stephen,NBA,2018,FALSE,FALSE
Giannis Antetokounmpo,East,NBA,2017,FALSE,FALSE
Carmelo Anthony,East,NBA,2017,FALSE,FALSE
Jimmy Butler,East,NBA,2017,FALSE,FALSE
DeMar DeRozan,East,NBA,2017,FALSE,FALSE
Paul George,East,NBA,2017,FALSE,FALSE
Kyrie Irving,East,NBA,2017,FALSE,FALSE
LeBron James,East,NBA,2017,FALSE,FALSE
Kevin Love,East,NBA,2017,TRUE,FALSE
Kyle Lowry,East,NBA,2017,FALSE,FALSE
Paul Millsap,East,NBA,2017,FALSE,FALSE
Isaiah Thomas,East,NBA,2017,FALSE,FALSE
Kemba Walker,East,NBA,2017,FALSE,FALSE
John Wall,East,NBA,2017,FALSE,FALSE
DeMarcus Cousins,West,NBA,2017,FALSE,FALSE
Stephen Curry,West,NBA,2017,FALSE,FALSE
Anthony Davis,West,NBA,2017,FALSE,FALSE
Kevin Durant,West,NBA,2017,FALSE,FALSE
Marc Gasol,West,NBA,2017,FALSE,FALSE
Draymond Green,West,NBA,2017,FALSE,FALSE
